,full_text
50,"['buzzerrp', 'paslon', 'no', '2', 'kehabisan', 'akal', 'amp', 'narasi', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'recehan']"
51,"['anies', 'membangun', 'jakarta', 'lebih', 'berkelanjutan', 'ramah', 'lingkungandan', 'memastikan', 'pertumbuhan', 'kota', 'memberikan', 'manfaat', 'seluruh', 'warga']"
52,"['janji', 'sdh', 'tdk', 'ditunaikan', 'tdk', 'nyapres', 'selama', 'masa', 'jabat', 'gub', 'dki', 'kalau', 'sdh', 'selesai', 'selesailah', 'janjinya', 'mission', 'accomplished', 'smp', 'kpn', 'pak', 'anies', 'nyapres', 'kl', 'tiap', 'priode', 'kalah', 'terus', 'amp', 'nyapres', 'terus', 'etika', 'koyol', 'tau']"
53,"['foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsokanhutang', 'kemenhan', 'trilyunan', 'bentuk', 'kebengisan', '270', 'juta', 'lebih', 'rakyat', 'indonesia', 'sarankan', 'tim', 'tkn', 'banyak', 'bercermin', 'menyerang', 'pak', 'anies', 'akhlak', 'kalian', 'pada', 'benar']"
54,"['ga', 'bang', 'aman', 'anies', 'pernah', 'tegor', 'rijik', 'suruh', 'bayar', 'denda', 'kok', 'waktu', 'buat', 'kerumunan', 'pas', 'covid', 'buktinya']"
55,"['gw', 'gak', 'bahas', 'dki', 'debat', 'jujur', 'gw', 'udah', 'melunak', 'sama', 'anies', 'siap', 'menerima', 'kemungkinan', 'jadi', 'presiden', 'gw', 'ngomong', 'gitu', 'baca', 'ttg', 'berita', 'kontrak', 'politik', 'anyway', 'di', 'twit', 'awal', 'gw', 'dki', 'negara']"
56,"['iya', 'kok', 'disurvey', 'kok', 'unggul']"
57,"['buni', 'yani', 'mengatakan', 'memotong', 'video', 'pidato', 'ahok', 'tim', 'cybernya', 'jadi', 'ketimbang', 'anies', 'tak', 'punya', 'masa', 'lebih', 'bertanggungjawab', 'yang', 'menggerakan', 'kelompok', 'brutal', '212']"
58,"['la', 'emang', 'pengusung', 'anies', 'pkb', 'nasdem', 'oposisi']"
59,"['buzzer', 'anies', 'follower', 'ribuan', 'klo', 'tweet', 'bayar']"
